"a","s","l"
"Amyloid","Amyloid","Amyloid: The Journal of Protein Folding Disorders : The Official Journal of the International Society of Amyloidosis"
"Anaerobe","Anaerobe","Anaerobe"
"Anaesthesia","Anaesthesia","Anaesthesia"
"AnaesthIntensiveCare","Anaesth. Intensive Care","Anaesthesia and Intensive Care"
"AnaesthesiolReanim","Anaesthesiol. Reanim.","Anaesthesiologie und Reanimation"
"Anaesthesist","Anaesthesist","Anaesthesist"
"AnaisDaFaculdadeDemedicinaDoCentroDeCienciasDaDaUfpe","Anais Da Faculdade Demedicina Do Centro De Ciencias Da Saude Da Ufpe","Anais Da Faculdade Demedicina Do Centro De Ciencias Da Saude Da Ufpe"
"AnRAcadNacMedMadr","An. R. Acad. Nac. Med.","Anales de la Real Academia Nacional de Medicina"
"AnMedInterna","An. Med. Interna.","Anales de Medicina Interna"
"AnEspPediatr","An. Esp. Pediatr.","Anales Espanoles de Pediatria"
"AnOtorrinolaringolIberoAm","An. Otorrinolaringol. Ibero. Am.","Anales Otorrinolaringologicos Iberoamericanos"
"Analyst","Analyst","Analyst"
"AnalChimActa","Anal Chim. Acta","Analytica Chimica Acta"
"AnalQuantCytolHistol","Anal. Quant. Cytol. Histol.","Analytical and Quantitative Cytology and Histology"
"AnalBiochem","Anal. Biochem.","Analytical Biochemistry"
"AnalCellPathol","Anal. Cell Pathol.","Analytical Cellular Pathology"
"AnalChem","Anal. Chem.","Analytical Chemistry"
"AnasthesiolIntensivmedNatfallmedSchmerzther","Anasthesiol. Intensivmed. Natfallmed. Schmerzther.","Anasthesiologie, Intensivmedizen, Notfallmedizen, Schmertheapie"
"AnatHistolEmbryol","Anat. Histol. Embryol.","Anatomia, Histologia, Embryologia"
"AnatRec","Anat. Rec.","Anatomical Record"
"AnatAnz","Anat. Anz.","Anatomischer Anzeiger"
"AnatEmbryolBerl","Anat. Embryol.","Anatomy and Embryology"
"AnatAnthropolEmbryolHistol","Anat. Anthropol. Embryol. Histol.","Anatomy, Anthropology, Embryology and Histology"
"Andrologia","Andrologia","Andrologia"
"AnesteziolReanimatol","Anesteziol. Reanimatol.","Anesteziologiia I Reanimatologiia"
"AnesthAnalg","Anesth. Analg.","Anesthesia and Analgesia"
"Anesthesiology","Anesthesiology","Anesthesiology"
"AngewBotanik","Angew. Botanik","Angewandte Botanik"
"AngewChem","Angew. Chem.","Angewandte Chemie"
"AngewParasitol","Angew. Parasitol.","Angewandte Parasitologie"
"Angiologia","Angiologia","Angiologia"
"Angiology","Angiology","Angiology"
"AngleOrthod","Angle Orthod.","Angle Orthodontist"
"AnimBehav","Anim. Behav.","Animal Behavior"
"anbe","Anim. Behav.","Animal Behaviour"
"AnimCogn","Anim. Cogn.","Animal Cognition"
"AnimConserv","Anim. Conserv.","Animal Conservation"
"AnimFeedSciTechnol","Anim. Feed Sci. Technol.","Animal Feed Science and Technology"
"AnimGenet","Anim. Genet.","Animal Genetics"
"AnimReprodSci","Anim. Reprod. Sci.","Animal Reproduction Science"
"AntisenseResDev","Antisense Res. Dev.","Anitsense Research and Development"
"AnnAcadMedStetin","Ann. Acad. Med. Stetin.","Annales Academiae Medicae Stetinensis"
"AnnAcadSciFennA","Ann. Acad. Sci. Fenn.[A]","Annales Academiae Scientiarum Fennicae. Series A. V Medica"
"AnnChirGynaecol","Ann. Chir. Gynaecol.","Annales Chirurgiae et Gynaecologiae"
"AnnChirGynaecolSuppl","Ann. Chir. Gynaecol. Suppl.","Annales Chirurgiae et Gynaecologiae. Supplementum"
"AnnOtolaryngolChirCervicofac","Ann. Otolaryngol. Chir. Cervicofac.","Annales d Oto-Laryngologie et de Chirurgie Cervico-Faciale"
"AnnUrolParis","Ann. Urol.","Annales d Urologie"
"ABC","ABC","Annales de Biologie Clinique"
"AnnBiolClinParis","Ann. Biol. Clin.","Annales de Biologie Clinique"
"AnnCardiolAngeiolParis","Ann. Cardiol. Angeiol.","Annales de Cardiologie et d Angeiologie"
"AnnChir","Ann. Chir.","Annales de Chirurgie"
"AnnChirMainMembSuper","Ann. Chir. Main. Memb. Super.","Annales de Chirurgie de la Main et Du Membre Superieur"
"AnnChirPlastEsthet","Ann. Chir. Plast. Esthet.","Annales de Chirurgie Plastique et Esthetique"
"AnnDermatolVenereol","Ann. Dermatol. Venereol.","Annales De Dermatologie et de Venereologie"
"AnnGastroenterolHepatolParis","Ann. Gastroenterol. Hepatol.","Annales de Gastroenterologie et d Hepatologie"
"AnnGenet","Ann. Genet.","Annales de Genetique"
"AnnSocBelgMedTrop","Ann. Soc. Belg. Med. Trop.","Annales de la Societe Belge de Medecine Tropicale"
"AnnMedInterneParis","Ann. Med. Interne","Annales de Medecine Interne"
"AnnParasitolHumComp","Ann. Parasitol. Hum. Comp.","Annales de Parasitologie Humaine et Comparee"
"AnnPathol","Ann. Pathol.","Annales de Pathologie"
"AnnPediatrParis","Ann. Pediatr.","Annales de Pediatrie"
"AnnRadiolParis","Ann. Radiol.","Annales de Radiologie"
"AnnRechVet","Ann. Rech. Vet.","Annales de Recherches Veterinaires"
"AnnZootech","Ann. Zootech.","Annales De Zootechnie"
"AnnFrAnesthReanim","Ann. Fr. Anesth. Reanim.","Annales Francaises d Anesthesie et de Reanimation"
"AnnGeophysic","Ann. Geophysic.","Annales Geophysicae"
"AnnMedPsycholParis","Ann. Med. Psychol.","Annales Medico-Psychologiques"
"AnnPharmFr","Ann. Pharm. Fr.","Annales Pharmaceutiques Francaises"
"AnnUnivMariaeCurieSklodowskaMed","Ann. Univ. Mariae Curie Sklodowska [Med]","Annales Universitatis Mariae Curie-Sklowdowska. Sectio D. Medicina"
"azf","Ann. Zool. Fennici","Annales Zoologici fennici"
"AnnZoolFennici","Ann. Zool. Fennici","Annales Zoologici Fennici"
"AnnIstSuperSanita","Ann. Ist. Super. Sanita.","Annali Dell Istituto Superiore di Sanita"
"AnnOspMariaVittoriaTorino","Ann. Osp. Maria Vittoria Torino","Annali Dell Ospedale Maria Vittoria di Torino"
"AnnIg","Ann. Ig.","Annali di Igiene"
"AnnOstetGinecolMedPerinat","Ann. Ostet. Ginecol. Med. Perinat.","Annali di Ostetricia, Ginecologia, Medicina Perinatale"
"AnnItalChir","Ann. Ital. Chir.","Annali Italiani di Chirurgia"
"AnnItalMedInt","Ann. Ital. Med. Int.","Annali Italiani di Medicina Interna"
"AnnSclavoCollanaMonogr","Ann. Sclavo. Collana Monogr.","Annali Sclavo. Collana Monografica"
"AnnAllergy","Ann. Allergy","Annals of Allergy"
"AnnAllergyAsthmaImmunol","Ann. Allergy Asthma Immunol.","Annals of Allergy, Asthma & Immunology"
"AnnApplBiol","Ann. Appl. Biol.","Annals of Applied Biology"
"AnnBiolTihany","Ann. Biol.","Annals of Biology"
"AnnBiomedEng","Ann. Biomed. Eng.","Annals of Biomedical Engineering"
"AnnBotany","Ann. Bot.","Annals of Botany"
"AnnClinLabSci","Ann. Clin. Lab. Sci.","Annals of Clinical and Laboratory Science"
"AnnClinBiochem","Ann. Clin. Biochem.","Annals of Clinical Biochemistry"
"AnnDent","Ann. Dent.","Annals of Dentistry"
"AnnEmergMed","Ann. Emerg. Med.","Annals of Emergency Medicine"
"AnnForSci","Ann. For. Sci.","Annals of Forest Science"
"AnnHematol","Ann. Hematol.","Annals of Hematology"
"AnnHumBiol","Ann. Hum. Biol.","Annals of Human Biology"
"AnnHumGenet","Ann. Hum. Genet.","Annals of Human Genetics"
"AnnInternMed","Ann. Intern. Med.","Annals of Internal Medicine"
"AnnMed","Ann. Med.","Annals of Medicine"
"AnnMicrobiol","Ann. Microbiol.","Annals of Microbiology"
"AnnNeurol","Ann. Neurol.","Annals of Neurology"
"AnnNuclMed","Ann. Nucl. Med.","Annals of Nuclear Medicine"
"AnnNutrMetab","Ann. Nutr. Metab.","Annals of Nutrition and Metabolism"
"AnnOccupHyg","Ann. Occup. Hyg.","Annals of Occupational Hygiene"
"AnnOncol","Ann. Oncol.","Annals of Oncology"
"AnnOphthalmol","Ann. Ophthalmol.","Annals of Ophthalmology"
"AnnOtolRhinolLaryngol","Ann. Otol. Rhinol. Laryngol.","Annals of Otology, Rhinology and Laryngology"
"AnnOtolRhinolLaryngolSuppl","Ann. Otol. Rhinol. Laryngol. Suppl.","Annals of Otology, Rhinology and Laryngology. Supplement"
"AnnPhysiolAnthropol","Ann. Physiol. Anthropol.","Annals of Physiological Anthropology"
"AnnPlastSurg","Ann. Plast. Surg.","Annals of Plastic Surgery"
"AnnSaudiMed","Ann. Saudi. Med.","Annals of Saudi Medicine"
"AnnSurg","Ann. Surg.","Annals of Surgery"
"AnnAcadMedSingapore","Ann. Acad. Med. Singapore","Annals of the Academy of Medicine, Singapore"
"AnnEntomolSocAm","Ann. Entomol. Soc. Am.","Annals of the Entomological Society of America"
"AnnICRP","Ann. ICRP","Annals of the ICRP"
"AnnInstStatMath","Ann. Inst. Stat. Math.","Annals of the Institute of Statistical Mathematics"
"AnnNYAcadSci","Ann. NY Acad. Sci.","Annals of the New York Academy of Sciences"
"AnnRheumDis","Ann. Rheum. Dis.","Annals of the Rheumatic Diseases"
"AnnRCollSurgEngl","Ann. R. Coll. Surg. Engl.","Annals of the Royal College of Surgeons of England"
"AnnThoracSurg","Ann. Thorac. Surg.","Annals of Thoracic Surgery"
"AnnTropMedParasitol","Ann. Trop. Med. Parasitol.","Annals of Tropical Medicine and Parasitology"
"AnnTropPaediatr","Ann. Trop. Paediatr.","Annals of Tropical Paediatrics"
"AnnVascSurg","Ann. Vasc. Surg.","Annals of Vasular Surgery"
"araf","Annex to Rep. Arctic Fish.","Annex to Arctic Fisheries Working Group Report"
"AnnuRevBiochem","Annu. Rev. Biochem.","Annual Review of Biochemistry"
"AnnuRevBiophysBiomolStruct","Annu. Rev. Biophys. Biomol. Struct.","Annual Review of Biophysics and Biomolecular Structure"
"AnnuRevBiophysBiophysChem","Annu. Rev. Biophys. Biophys. Chem.","Annual Review of Biophysics and Biophysical Chemistry"
"AnnuRevCellDevBiol","Annu. Rev. Cell. Dev. Biol.","Annual Review of Cell and Developmental Biology"
"AnnuRevCellBiol","Annu. Rev. Cell. Biol.","Annual Review of Cell Biology"
"ares","Ann. Rev. Ecol. Evol. Syst.","Annual Review of Ecology, Evolution, & Systematics"
"AnnuRevEcolSyst","Annu. Rev. Ecol. Syst.","Annual Review of Ecology, Evolution, and Systematics"
"AnnuRevEntomol","Annu. Rev. Entomol.","Annual Review of Entomology"
"AnRevEnvRes","Annu. Rev. Env. Resour.","Annual Review of Environment and Resources"
"AnnuRevFishDis","Annu. Rev. Fish Dis.","Annual Review of Fish Diseases"
"AnnuRevGenet","Annu. Rev. Genet.","Annual Review of Genetics"
"AnnuRevImmunol","Annu. Rev. Immunol.","Annual Review of Immunology"
"AnnuRevMed","Annu. Rev. Med.","Annual Review of Medicine"
"AnnuRevMicrobiol","Annu. Rev. Microbiol.","Annual Review of Microbiology"
"AnnuRevNeurosci","Annu. Rev. Neurosci.","Annual Review of Neuroscience"
"AnnuRevNursRes","Annu. Rev. Nurs. Res.","Annual Review of Nursing Research"
"AnnuRevNutr","Annu. Rev. Nutr.","Annual Review of Nutrition"
"AnnuRevPharmacolToxicol","Annu. Rev. Pharmacol. Toxicol.","Annual Review of Pharmacology and Toxicology"
"AnnuRevPhysChem","Annu. Rev. Phys. Chem.","Annual Review of Physical Chemistry"
"AnnuRevPhysiol","Annu. Rev. Physiol.","Annual Review of Physiology"
"AnnuRevPhytopathol","Annu. Rev. Phytopathol.","Annual Review of Phytopathology"
"AnnuRevPlantBiol","Annu. Rev. Plant Biol.","Annual Review of Plant Biology"
"AnnuRevPlantPhysiol","Annu. Rev. Plant Physiol.","Annual Review of Plant Physiology"
"AnnuRevPlantPhysiolPlantMolBiol","Annu. Rev. Plant Physiol. Plant Mol. Biol.","Annual Review of Plant Physiology and Plant Molecular Biology"
"AnnuRevPsychol","Annu. Rev. Psychol.","Annual Review of Psychology"
"AnnuRevPublicHealth","Annu. Rev. Public Health","Annual Review of Public Health"
"AnRevResEcon","Annu. Rev. Resour. Econ.","Annual Review of Resource Economics"
"ANSAdvNursSci","ANS Adv. Nurs. Sci.","ANS. Advances in Nursing Science"
"AntarticSci","Antartic Sci.","Antartic Science"
"AnthropolAnz","Anthropol. Anz.","Anthropologischer Anzeiger"
"AnticancerDrugDes","Anticancer Drug Des.","Anti-Cancer Drug Design"
"AnticancerDrugs","Anticancer Drugs","Anti-Cancer Drugs"
"AntibiotChemother","Antibiot. Chemother.","Antibiotics and Chemotherapy"
"AntibiotKhimioter","Antibiot. Khimioter.","Antibiotiki I Khimioterapiia"
"AntibImmunRadiopharm","Antibody, Immunoconjugates, and Radiopharmaceuticals","Antibody, Immunoconjugates, and Radiopharmaceuticals"
"AnticancerRes","Anticancer Res.","Anticancer Research"
"AntimicrobAgentsChemother","Antimicrob. Agents Chemother.","Antimicrobial Agents and Chemotherapy"
"AntisenseNucleicAcidDrugDev","Antisense Nucleic Acid Drug Dev.","Antisense and Nucleic Acid Drug Development"
"AntiviralChemChemother","Antiviral Chem. Chemother.","Antiviral Chemistry and Chemotherapy"
"AntiviralRes","Antiviral Res.","Antiviral Research"
"AntonieVanLeeuwenhoek","Antonie Van Leeuwenhoek","Antonie Van Leeuwenhoek"
"AORNJ","AORN J.","AORN Journal"
"Apidologie","Apidologie","Apidologie"
"APMIS","APMIS","APMIS"
"APMISSuppl","APMIS Suppl.","APMIS. Supplementum"
"Apoptosis","Apoptosis","Apoptosis"
"Appetite","Appetite","Appetite"
"ApplEnvironMicrobiol","Appl. Environ. Microbiol.","Applied and Environmental Microbiology"
"ApplTheorElectrophor","Appl. Theor. Electrophor.","Applied and Theoretical Electrophoresis"
"ApplBiochemBiotechnol","Appl. Biochem. Biotechnol.","Applied Biochemistry and Biotechnology"
"ApplBioinformatics","Appl. Bioinformatics","Applied Bioinformatics"
"AEER","AEER","Applied Ecology and Environmental Research"
"ApplMicrobiolBiotechnol","Appl. Microbiol. Biotechnol.","Applied Microbiology and Biotechnology"
"ApplNeuropsychol","Appl. Neuropsychol.","Applied Neuropsychology"
"ApplPsychophysBiof","Appl. Psychophys. Biof.","Applied Psychophysiology And Biofeedback"
"ApplSoilEcol","Appl. Soil Ecol.","Applied Soil Ecology"
"Aqua","Aqua","Aqua"
"Aquaculture","Aquaculture","Aquaculture"
"AquacultNutr","Aquacult. Nutr.","Aquaculture Nutrition"
"AquacultRes","Aquacult. Res.","Aquaculture Research"
"AquatCons","Aquat. Conserv.","Aquatic Conservation: Marine and Freshwater Ecosystems"
"AquatEcol","Aquat. Ecol.","Aquatic Ecology"
"AquatLivRes","Aquat. Living Resour.","Aquatic Living Resources"
"AquaticMammals","Aquatic Mammals","Aquatic Mammals"
"AquatMicrobEcol","Aquat. Microb. Ecol.","Aquatic Microbial Ecology"
"ArbPaulEhrlichInstBundesamtSeraImpfstoffeFrankfA","Arb. Paul Ehrlich Inst. Bundesamt Sera Impfstoffe Frankf A M","Arbeiten Aus Dem Paul-Ehrlich-Institut (Bundesamt fur Sera und Impfstoffe) zu Fr"
"ArchPharmWeinheim","Arch. Pharm.","Archiv der Pharmazie"
"ArchMollusk","Arch. Mollusk.","Archiv fuer Molluskenkunde"
"ArchExpVeterinarmed","Arch. Exp. Veterinarmed","Archiv fur Experimentelle Veterinarmedizin"
"ArchKriminol","Arch. Kriminol.","Archiv fur Kriminologie"
"ArchPsycholFrankf","Arch. Psychol.","Archiv fur Psychologie"
"ArchTierernahr","Arch. Tierernahr.","Archiv fur Tierernahrung"
"ArchAnatCytolPathol","Arch. Anat. Cytol. Pathol.","Archives D Anatomie et de Cytologie Pathologiques"
"ArchAnatHistolEmbryol","Arch. Anat. Histol. Embryol.","Archives d Anatomie, d Histologie et d Embryologie"
"ArchInstPasteurAlger","Arch. Inst. Pasteur Alger.","Archives de l Institut Pasteur d Algerie"
"ArchInstPasteurMadagascar","Arch. Inst. Pasteur Madagascar.","Archives de l Institut Pasteur de Madagascar"
"ArchInstPasteurTunis","Arch. Inst. Pasteur Tunis.","Archives de l Institut Pasteur de Tunis"
"ArchMalCoeurVaiss","Arch. Mal. Coeur. Vaiss.","Archives des Maladies du Coeur et des Vaisseux"
"ArchFrPediatr","Arch. Fr. Pediatr.","Archives Francaises de Pediatrie"
"ArchIntPharmacodynTher","Arch. Int. Pharmacodyn Ther.","Archives Internationales de Pharmacodynamie et de Therapie"
"ArchIntPhysiolBiochimBiophys","Arch. Int. Physiol. Biochim. Biophys.","Archives Internationales de Physiologie, de Biochimie et de Biophysique"
"ArchItalBiol","Arch. Ital. Biol.","Archives Italiennes de Biologie"
"ArchAndrol","Arch. Androl.","Archives of Andrology"
"ArchBiochemBiophys","Arch. Biochem. Biophys.","Archives of Biochemistry and Biophysics"
"ArchDermatolRes","Arch. Dermatol. Res.","Archives of Dermatological Research"
"ArchDermatol","Arch. Dermatol.","Archives of Dermatology"
"ArchDisChild","Arch. Dis. Child.","Archives of Disease in Childhood"
"ArchEmergMed","Arch. Emerg. Med.","Archives of Emergency Medicine"
"ArchEnvironContamToxicol","Arch. Environ. Contam. Toxicol.","Archives of Environmental Contamination and Toxicology"
"ArchEnvironHealth","Arch. Environ. Health","Archives of Environmental Health"
"ArchFamMed","Arch. Fam. Med.","Archives of Family Medicine"
"ArchGenPsychiatry","Arch. Gen. Psychiatry","Archives of General Psychiatry"
"ArchGerontolGeriat","Arch. Gerontol. Geriat.","Archives of Gerontology and Geriatrics"
"ArchGynecolObstet","Arch. Gynecol. Obstet.","Archives of Gynecology and Obstetrics"
"ArchHistolCytol","Arch. Histol. Cytol.","Archives of Histology and Cytology"
"ArchInsectBiochemPhysiol","Arch. Insect. Biochem. Physiol.","Archives of Insect Biochemistry and Physiology"
"ArchInternMed","Arch. Intern. Med.","Archives of Internal Medicine"
"ArchMicrobiol","Arch. Microbiol.","Archives of Microbiology"
"ArchNeurol","Arch. Neurol.","Archives of Neurology"
"ArchOphthalmol","Arch. Ophthalmol.","Archives of Ophthalmology"
"ArchOralBiol","Arch. Oral. Biol.","Archives of Oral Biology"
"ArchOrthopTraumaSurg","Arch. Orthop. Trauma Surg.","Archives of Orthopaedic and Trauma Surgery"
"ArchOtorhinolaryngolSuppl","Arch. Otorhinolaryngol. Suppl.","Archives of Oto-Rhino-Laryngology. Supplement"
"ArchOtolaryngolHeadNeckSurg","Arch. Otolaryngol. Head Neck Surg.","Archives of Otolaryngology-- Head and Neck Surgery"
"ArchPatholLabMed","Arch. Pathol. Lab. Med.","Archives of Pathology and Laboratory Medicine"
"ArchPediatrAdolescMed","Arch. Pediatr. Adolesc. Med.","Archives of Pediatrics and Adolescent Medicine"
"ArchPhysMedRehabil","Arch. Phys. Med. Rehabil.","Archives of Physical Medicine and Rehabilitation"
"ArchPsychiatrNurs","Arch. Psychiatr. Nurs.","Archives of Psychiatric Nursing"
"ArchSexBehav","Arch. Sex Behav.","Archives of Sexual Behavior"
"AArchSurg","AArch Surg.","Archives of Surgery"
"ArchSurg","Arch. Surg.","Archives of Surgery"
"ArchToxicol","Arch. Toxicol.","Archives of Toxicology"
"ArchToxicolSuppl","Arch. Toxicol. Suppl.","Archives of Toxicology. Supplement. Archiv fur Toxikologie. Supplement"
"ArchVirol","Arch. Virol.","Archives of Virology"
"ArchRoumPatholExpMicrobiol","Arch. Roum. Pathol. Exp. Microbiol.","Archives Roumaines de Pathologie Experimentale et de Microbiologie"
"ArchItalAnatEmbriol","Arch. Ital. Anat. Embriol.","Archivio Italiano di Anatomia e di Embriologia"
"ArchItalUrolNefrolAndrol","Arch. Ital. Urol. Nefrol. Androl.","Archivio Italiano di Urologia, Nefrologia, Andrologia"
"ArchMonaldiMalTorace","Arch. Monaldi. Mal. Torace","Archivio Monaldi per le Malattie del Torace"
"ArchPuttiChirOrganiMov","Arch. Putti. Chir. Organi. Mov.","Archivio Putti di Chirurgia Degli Organi di Movimento"
"ArchBiolMedExpSantiago","Arch. Biol. Med. Exp.","Archivos de Biologia Y Medicina Experimentales"
"ArchInvestMedMex","Arch. Invest. Med.","Archivos de Investigacion Medica"
"ArchInstCardiolMex","Arch. Inst. Cardiol. Mex.","Archivos del Instituto de Cardiologia de Mexico"
"ArchEspUrol","Arch. Esp. Urol.","Archivos Espanoles de Urologia"
"ArchLatinoamNutr","Arch. Latinoam. Nutr.","Archivos Latinoamericanos de Nutricion"
"ArchImmunolTherExpWarsz","Arch. Immunol. Ther. Exp.","Archivum Immunologiae et Therapiae Experimentalis"
"ArcticMedRes","Arctic Med. Res.","Arctic Medical Research"
"ArcAntarcAlpRes","Arctic, Antarctic Alpine Res.","Arctic, Antarctic and Alpine Research"
"Ardeola","Ardeola","Ardeola"
"Arerugi","Arerugi","Arerugi. Japanese Journal of Allergology"
"ArhHigRadaToksikol","Arh. Hig. Rada. Toksikol.","Arhiv za Higijenu Rada I Toksikologiju"
"AridLandResManage","Arid Land Res. Manage.","Arid Land Research and Management"
"AridSoilResReh","Arid Soil Res. Rehabil.","Arid Soil Research and Rehabilitation"
"ArkhAnatGistolEmbriol","Arkh. Anat. Gistol. Embriol.","Arkhiv Anatomii Gistologii I Embriologii"
"ArkhPatol","Arkh. Patol.","Arkhiv Patologii"
"ArqBrasCardiol","Arq. Bras. Cardiol.","Arquivos Brasileiros de Cardiologia"
"ArqGastroenterol","Arq. Gastroenterol.","Arquivos de Gastroenterologia"
"ArqNeuropsiquiatr","Arq. Neuropsiquiatr.","Arquivos de Neuro-Psiuiatria"
"Arteriosclerosis","Arteriosclerosis","Arteriosclerosis"
"ArteriosclerThromb","Arterioscler. Thromb.","Arteriosclerosis and Thrombosis"
"ArteriosclerThrombVascBiol","Arterioscler. Thromb. Vasc. Biol.","Arteriosclerosis, Thrombosis, and Vascular Biology"
